measure,location,sample date,value
Chemical Oxygen Demand (Cr),Sakda,25-Jan-01,20.33333333
Chemical Oxygen Demand (Mn),Sakda,25-Jan-01,5.866666667
Anionic active surfactants,Sakda,25-Jan-01,0.09
Atrazine,Sakda,25-Jan-01,0.026666667
"p,p-DDT",Sakda,25-Jan-01,0.133333333
gamma-Hexachlorocyclohexane,Sakda,25-Jan-01,0.543333333
Macrozoobenthos,Sakda,25-Jan-01,2.006666667
Total coliforms,Sakda,25-Jan-01,0.256666667
Water temperature,Kannika,27-Jan-01,3
Dissolved oxygen,Kannika,27-Jan-01,11.26666667
Bicarbonates,Kannika,27-Jan-01,169
Ammonium,Kannika,27-Jan-01,0.543333333
Nitrites,Kannika,27-Jan-01,0.033333333
Nitrates,Kannika,27-Jan-01,2.703333333
Orthophosphate-phosphorus,Kannika,27-Jan-01,0.056666667
Total phosphorus,Kannika,27-Jan-01,0.086666667
Sodium,Kannika,27-Jan-01,24.73333333
Potassium,Kannika,27-Jan-01,3.666666667
Calcium,Kannika,27-Jan-01,59.26666667
Magnesium,Kannika,27-Jan-01,26.93333333
Chlorides,Kannika,27-Jan-01,41.3
Sulphates,Kannika,27-Jan-01,54.46666667
Iron,Kannika,27-Jan-01,1.37
Manganese,Kannika,27-Jan-01,0.05
Zinc,Kannika,27-Jan-01,27.66666667
Copper,Kannika,27-Jan-01,29.66666667
Chromium,Kannika,27-Jan-01,23.33333333
Lead,Kannika,27-Jan-01,2.666666667
Cadmium,Kannika,27-Jan-01,1.72
Biochemical Oxygen,Kannika,27-Jan-01,3.933333333
Chemical Oxygen Demand (Cr),Kannika,27-Jan-01,19.33333333
Chemical Oxygen Demand (Mn),Kannika,27-Jan-01,5.9
Anionic active surfactants,Kannika,27-Jan-01,0.106666667
Atrazine,Kannika,27-Jan-01,0.04
"p,p-DDT",Kannika,27-Jan-01,0.42
gamma-Hexachlorocyclohexane,Kannika,27-Jan-01,0.186666667
Macrozoobenthos,Kannika,27-Jan-01,2.02
Total coliforms,Kannika,27-Jan-01,0.116666667
Water temperature,Kohsoom,28-Jan-01,2.5
Dissolved oxygen,Kohsoom,28-Jan-01,9.2
Bicarbonates,Kohsoom,28-Jan-01,262
Ammonium,Kohsoom,28-Jan-01,2.6
Nitrites,Kohsoom,28-Jan-01,0.04
Nitrates,Kohsoom,28-Jan-01,4.2
Orthophosphate-phosphorus,Kohsoom,28-Jan-01,0.17
Total phosphorus,Kohsoom,28-Jan-01,0.21
Sodium,Kohsoom,28-Jan-01,44.7
Potassium,Kohsoom,28-Jan-01,6.8
Calcium,Kohsoom,28-Jan-01,83
Magnesium,Kohsoom,28-Jan-01,26
Chlorides,Kohsoom,28-Jan-01,74
Sulphates,Kohsoom,28-Jan-01,109
Iron,Kohsoom,28-Jan-01,0.2
Manganese,Kohsoom,28-Jan-01,0.01
Zinc,Kohsoom,28-Jan-01,26
Copper,Kohsoom,28-Jan-01,6
Chromium,Kohsoom,28-Jan-01,9
Lead,Kohsoom,28-Jan-01,3
Cadmium,Kohsoom,28-Jan-01,7.96
Biochemical Oxygen,Kohsoom,28-Jan-01,6.4
Chemical Oxygen Demand (Cr),Kohsoom,28-Jan-01,12.7
Chemical Oxygen Demand (Mn),Kohsoom,28-Jan-01,8.8
Anionic active surfactants,Kohsoom,28-Jan-01,0.06
Atrazine,Kohsoom,28-Jan-01,0.07
"p,p-DDT",Kohsoom,28-Jan-01,0.18
gamma-Hexachlorocyclohexane,Kohsoom,28-Jan-01,0.3
Macrozoobenthos,Kohsoom,28-Jan-01,1.9
Total coliforms,Kohsoom,28-Jan-01,16
Fecal coliforms,Kohsoom,28-Jan-01,9.2
Water temperature,Chai,17-Feb-01,2.466666667
Dissolved oxygen,Chai,17-Feb-01,11
Bicarbonates,Chai,17-Feb-01,196
Ammonium,Chai,17-Feb-01,0.316666667
Nitrites,Chai,17-Feb-01,0.033333333
Nitrates,Chai,17-Feb-01,2.643333333
Orthophosphate-phosphorus,Chai,17-Feb-01,0.02
Total phosphorus,Chai,17-Feb-01,0.04
Sodium,Chai,17-Feb-01,25.66666667
Potassium,Chai,17-Feb-01,3.4
Calcium,Chai,17-Feb-01,76.93333333
Magnesium,Chai,17-Feb-01,14.73333333
Chlorides,Chai,17-Feb-01,36.76666667
Sulphates,Chai,17-Feb-01,54.83333333
Iron,Chai,17-Feb-01,0.93
Manganese,Chai,17-Feb-01,0.043333333
Zinc,Chai,17-Feb-01,21.33333333
Copper,Chai,17-Feb-01,20.66666667
Chromium,Chai,17-Feb-01,11.33333333
Lead,Chai,17-Feb-01,4.666666667
Cadmium,Chai,17-Feb-01,2.996666667
Biochemical Oxygen,Chai,17-Feb-01,3.766666667
Chemical Oxygen Demand (Cr),Chai,17-Feb-01,14.66666667
Chemical Oxygen Demand (Mn),Chai,17-Feb-01,5.5
Anionic active surfactants,Chai,17-Feb-01,0.07
Atrazine,Chai,17-Feb-01,0.013333333
"p,p-DDT",Chai,17-Feb-01,0.13
gamma-Hexachlorocyclohexane,Chai,17-Feb-01,0.383333333
Macrozoobenthos,Chai,17-Feb-01,2.223333333
Total coliforms,Chai,17-Feb-01,1.5
Fecal coliforms,Chai,17-Feb-01,0.75
Fecal streptococci ,Chai,17-Feb-01,0.011666667
Water temperature,Kohsoom,18-Feb-01,1.4
Dissolved oxygen,Kohsoom,18-Feb-01,9.2
Bicarbonates,Kohsoom,18-Feb-01,238
Ammonium,Kohsoom,18-Feb-01,1.4
Nitrites,Kohsoom,18-Feb-01,0.03
Nitrates,Kohsoom,18-Feb-01,5.4
Orthophosphate-phosphorus,Kohsoom,18-Feb-01,0.13
Total phosphorus,Kohsoom,18-Feb-01,0.17
Sodium,Kohsoom,18-Feb-01,37.2
Potassium,Kohsoom,18-Feb-01,5.6
Calcium,Kohsoom,18-Feb-01,78
Magnesium,Kohsoom,18-Feb-01,24
Chlorides,Kohsoom,18-Feb-01,64
Sulphates,Kohsoom,18-Feb-01,101
Iron,Kohsoom,18-Feb-01,0.89
Manganese,Kohsoom,18-Feb-01,0.13
Zinc,Kohsoom,18-Feb-01,94
Copper,Kohsoom,18-Feb-01,26
Chromium,Kohsoom,18-Feb-01,18
Lead,Kohsoom,18-Feb-01,3
Cadmium,Kohsoom,18-Feb-01,8.05
Biochemical Oxygen,Kohsoom,18-Feb-01,8.8
Chemical Oxygen Demand (Cr),Kohsoom,18-Feb-01,14.4
Chemical Oxygen Demand (Mn),Kohsoom,18-Feb-01,9.6
Anionic active surfactants,Kohsoom,18-Feb-01,0.06
Atrazine,Kohsoom,18-Feb-01,0.03
"p,p-DDT",Kohsoom,18-Feb-01,0.14
gamma-Hexachlorocyclohexane,Kohsoom,18-Feb-01,0.45
Macrozoobenthos,Kohsoom,18-Feb-01,2
Total coliforms,Kohsoom,18-Feb-01,0.25
Fecal coliforms,Kohsoom,18-Feb-01,0.04
Water temperature,Somchair,18-Feb-01,3.6
Dissolved oxygen,Somchair,18-Feb-01,10.3
Bicarbonates,Somchair,18-Feb-01,184
Ammonium,Somchair,18-Feb-01,0.41
Nitrites,Somchair,18-Feb-01,0.03
Nitrates,Somchair,18-Feb-01,2.9
Orthophosphate-phosphorus,Somchair,18-Feb-01,0.13
Total phosphorus,Somchair,18-Feb-01,0.17
Sodium,Somchair,18-Feb-01,49.2
Potassium,Somchair,18-Feb-01,5.8
Calcium,Somchair,18-Feb-01,89
Magnesium,Somchair,18-Feb-01,14.6
Chlorides,Somchair,18-Feb-01,82.7
Sulphates,Somchair,18-Feb-01,51.1
Iron,Somchair,18-Feb-01,4.53
Manganese,Somchair,18-Feb-01,0.38
Zinc,Somchair,18-Feb-01,46
Copper,Somchair,18-Feb-01,25
Chromium,Somchair,18-Feb-01,37
Lead,Somchair,18-Feb-01,4
Cadmium,Somchair,18-Feb-01,9.2
Biochemical Oxygen,Somchair,18-Feb-01,4.6
Chemical Oxygen Demand (Cr),Somchair,18-Feb-01,15
Chemical Oxygen Demand (Mn),Somchair,18-Feb-01,6.5
Anionic active surfactants,Somchair,18-Feb-01,0.06
Atrazine,Somchair,18-Feb-01,0.02
"p,p-DDT",Somchair,18-Feb-01,0.03
gamma-Hexachlorocyclohexane,Somchair,18-Feb-01,0.08
Macrozoobenthos,Somchair,18-Feb-01,2.22
Total coliforms,Somchair,18-Feb-01,0.46
Fecal coliforms,Somchair,18-Feb-01,0.04
Fecal streptococci ,Somchair,18-Feb-01,0.01
Water temperature,Busarakhan,18-Feb-01,3.2
Dissolved oxygen,Busarakhan,18-Feb-01,10
Bicarbonates,Busarakhan,18-Feb-01,236
Ammonium,Busarakhan,18-Feb-01,0.69
Nitrites,Busarakhan,18-Feb-01,0.03
Nitrates,Busarakhan,18-Feb-01,3.17
Orthophosphate-phosphorus,Busarakhan,18-Feb-01,0.06
Total phosphorus,Busarakhan,18-Feb-01,0.09
Sodium,Busarakhan,18-Feb-01,99.8
Potassium,Busarakhan,18-Feb-01,9.2
Calcium,Busarakhan,18-Feb-01,89
Magnesium,Busarakhan,18-Feb-01,41.6
Chlorides,Busarakhan,18-Feb-01,89.6
Sulphates,Busarakhan,18-Feb-01,230.6
Iron,Busarakhan,18-Feb-01,1.3
Manganese,Busarakhan,18-Feb-01,0.09
Zinc,Busarakhan,18-Feb-01,27
Copper,Busarakhan,18-Feb-01,17
Chromium,Busarakhan,18-Feb-01,6
Lead,Busarakhan,18-Feb-01,2
Cadmium,Busarakhan,18-Feb-01,2.04
Biochemical Oxygen,Busarakhan,18-Feb-01,4.4
Chemical Oxygen Demand (Cr),Busarakhan,18-Feb-01,16
Chemical Oxygen Demand (Mn),Busarakhan,18-Feb-01,6.2
Anionic active surfactants,Busarakhan,18-Feb-01,0.08
Atrazine,Busarakhan,18-Feb-01,0.02
"p,p-DDT",Busarakhan,18-Feb-01,0.08
gamma-Hexachlorocyclohexane,Busarakhan,18-Feb-01,0.05
Macrozoobenthos,Busarakhan,18-Feb-01,2.37
Total coliforms,Busarakhan,18-Feb-01,0.06
Fecal coliforms,Busarakhan,18-Feb-01,0.02
Fecal streptococci ,Busarakhan,18-Feb-01,0.01
Water temperature,Sakda,22-Feb-01,3
Dissolved oxygen,Sakda,22-Feb-01,11.03333333
Bicarbonates,Sakda,22-Feb-01,183
Ammonium,Sakda,22-Feb-01,0.496666667
Nitrites,Sakda,22-Feb-01,0.04
Nitrates,Sakda,22-Feb-01,2.723333333
Orthophosphate-phosphorus,Sakda,22-Feb-01,0.08
Total phosphorus,Sakda,22-Feb-01,0.1
Sodium,Sakda,22-Feb-01,29.73333333
Potassium,Sakda,22-Feb-01,4.066666667
Calcium,Sakda,22-Feb-01,62.2
Magnesium,Sakda,22-Feb-01,14.66666667
Chlorides,Sakda,22-Feb-01,39.03333333
Sulphates,Sakda,22-Feb-01,57.4
Iron,Sakda,22-Feb-01,2.07
Manganese,Sakda,22-Feb-01,0.083333333
Zinc,Sakda,22-Feb-01,23
Copper,Sakda,22-Feb-01,24.66666667
Chromium,Sakda,22-Feb-01,26.66666667
Lead,Sakda,22-Feb-01,3
Cadmium,Sakda,22-Feb-01,2.286666667
Biochemical Oxygen,Sakda,22-Feb-01,3.266666667
Chemical Oxygen Demand (Cr),Sakda,22-Feb-01,18.43333333
Chemical Oxygen Demand (Mn),Sakda,22-Feb-01,4.1
Anionic active surfactants,Sakda,22-Feb-01,0.09
Atrazine,Sakda,22-Feb-01,0.02
"p,p-DDT",Sakda,22-Feb-01,0.233333333
gamma-Hexachlorocyclohexane,Sakda,22-Feb-01,0.2
Macrozoobenthos,Sakda,22-Feb-01,1.983333333
Total coliforms,Sakda,22-Feb-01,0.356666667
Fecal coliforms,Sakda,22-Feb-01,0.014
Fecal streptococci ,Sakda,22-Feb-01,0.004
Water temperature,Kannika,24-Feb-01,4
Dissolved oxygen,Kannika,24-Feb-01,11
Bicarbonates,Kannika,24-Feb-01,191.6666667
Ammonium,Kannika,24-Feb-01,0.366666667
Nitrites,Kannika,24-Feb-01,0.033333333
Nitrates,Kannika,24-Feb-01,2.673333333
Orthophosphate-phosphorus,Kannika,24-Feb-01,0.05
Total phosphorus,Kannika,24-Feb-01,0.07
Sodium,Kannika,24-Feb-01,22
Potassium,Kannika,24-Feb-01,3.066666667
Calcium,Kannika,24-Feb-01,62.33333333
Magnesium,Kannika,24-Feb-01,21.86666667
Chlorides,Kannika,24-Feb-01,35.73333333
Sulphates,Kannika,24-Feb-01,43.66666667
Iron,Kannika,24-Feb-01,1.443333333
Manganese,Kannika,24-Feb-01,0.066666667
Zinc,Kannika,24-Feb-01,98.66666667
Copper,Kannika,24-Feb-01,18.33333333
Chromium,Kannika,24-Feb-01,49.66666667
Lead,Kannika,24-Feb-01,3
Cadmium,Kannika,24-Feb-01,2.213333333
Biochemical Oxygen,Kannika,24-Feb-01,3.566666667
Chemical Oxygen Demand (Cr),Kannika,24-Feb-01,17.13333333
Chemical Oxygen Demand (Mn),Kannika,24-Feb-01,4.266666667
Anionic active surfactants,Kannika,24-Feb-01,0.126666667
Atrazine,Kannika,24-Feb-01,0.02
"p,p-DDT",Kannika,24-Feb-01,0.016666667
gamma-Hexachlorocyclohexane,Kannika,24-Feb-01,0.116666667
Macrozoobenthos,Kannika,24-Feb-01,2.063333333
Total coliforms,Kannika,24-Feb-01,0.24
Fecal coliforms,Kannika,24-Feb-01,0.010666667
Fecal streptococci ,Kannika,24-Feb-01,0.004
Water temperature,Boonsri,10-Mar-01,7.333333333
Dissolved oxygen,Boonsri,10-Mar-01,9.6
Bicarbonates,Boonsri,10-Mar-01,177
Ammonium,Boonsri,10-Mar-01,0.25
Nitrites,Boonsri,10-Mar-01,0.03
Nitrates,Boonsri,10-Mar-01,1.99
Orthophosphate-phosphorus,Boonsri,10-Mar-01,0.053333333
Total phosphorus,Boonsri,10-Mar-01,0.063333333
Sodium,Boonsri,10-Mar-01,15.53333333
Potassium,Boonsri,10-Mar-01,2.733333333
Calcium,Boonsri,10-Mar-01,48
Magnesium,Boonsri,10-Mar-01,14.56666667
Chlorides,Boonsri,10-Mar-01,18.46666667
Sulphates,Boonsri,10-Mar-01,41.36666667
Biochemical Oxygen,Boonsri,10-Mar-01,3.733333333
Chemical Oxygen Demand (Cr),Boonsri,10-Mar-01,21.66666667
Chemical Oxygen Demand (Mn),Boonsri,10-Mar-01,5.966666667
Anionic active surfactants,Boonsri,10-Mar-01,0
Macrozoobenthos,Boonsri,10-Mar-01,1.89
Water temperature,Kohsoom,18-Mar-01,5
Dissolved oxygen,Kohsoom,18-Mar-01,8.9
Bicarbonates,Kohsoom,18-Mar-01,226
Ammonium,Kohsoom,18-Mar-01,0.95
Nitrites,Kohsoom,18-Mar-01,0.02
Nitrates,Kohsoom,18-Mar-01,3.8
Orthophosphate-phosphorus,Kohsoom,18-Mar-01,0.12
Total phosphorus,Kohsoom,18-Mar-01,0.15
Sodium,Kohsoom,18-Mar-01,29.5
Potassium,Kohsoom,18-Mar-01,5.1
Calcium,Kohsoom,18-Mar-01,75
Magnesium,Kohsoom,18-Mar-01,24
Chlorides,Kohsoom,18-Mar-01,50
Sulphates,Kohsoom,18-Mar-01,103
Iron,Kohsoom,18-Mar-01,0.41
Manganese,Kohsoom,18-Mar-01,0.08
Zinc,Kohsoom,18-Mar-01,57
Copper,Kohsoom,18-Mar-01,25
Chromium,Kohsoom,18-Mar-01,60
Lead,Kohsoom,18-Mar-01,2
Cadmium,Kohsoom,18-Mar-01,2.78
Biochemical Oxygen,Kohsoom,18-Mar-01,4.5
Chemical Oxygen Demand (Cr),Kohsoom,18-Mar-01,14
Chemical Oxygen Demand (Mn),Kohsoom,18-Mar-01,6.8
Anionic active surfactants,Kohsoom,18-Mar-01,0.08
Atrazine,Kohsoom,18-Mar-01,0.03
"p,p-DDT",Kohsoom,18-Mar-01,0.07
gamma-Hexachlorocyclohexane,Kohsoom,18-Mar-01,0.1
Macrozoobenthos,Kohsoom,18-Mar-01,2.3
Water temperature,Sakda,22-Mar-01,6.5
Dissolved oxygen,Sakda,22-Mar-01,9.833333333
Bicarbonates,Sakda,22-Mar-01,158.3333333
Ammonium,Sakda,22-Mar-01,0.19
Nitrites,Sakda,22-Mar-01,0.03
Nitrates,Sakda,22-Mar-01,2.43
Orthophosphate-phosphorus,Sakda,22-Mar-01,0.02
Total phosphorus,Sakda,22-Mar-01,0.04
Sodium,Sakda,22-Mar-01,26.46666667
Potassium,Sakda,22-Mar-01,3.2
Calcium,Sakda,22-Mar-01,56.83333333
Magnesium,Sakda,22-Mar-01,17.6
Chlorides,Sakda,22-Mar-01,39.03333333
Sulphates,Sakda,22-Mar-01,53.26666667
Iron,Sakda,22-Mar-01,1.216666667
Manganese,Sakda,22-Mar-01,0.06
Zinc,Sakda,22-Mar-01,27
Copper,Sakda,22-Mar-01,28.33333333
Chromium,Sakda,22-Mar-01,24
Lead,Sakda,22-Mar-01,2.333333333
Cadmium,Sakda,22-Mar-01,5.35
Biochemical Oxygen,Sakda,22-Mar-01,1.966666667
Chemical Oxygen Demand (Cr),Sakda,22-Mar-01,15.33333333
Chemical Oxygen Demand (Mn),Sakda,22-Mar-01,3.133333333
Anionic active surfactants,Sakda,22-Mar-01,0.033333333
Atrazine,Sakda,22-Mar-01,0.043333333
"p,p-DDT",Sakda,22-Mar-01,0.37
gamma-Hexachlorocyclohexane,Sakda,22-Mar-01,0.233333333
Macrozoobenthos,Sakda,22-Mar-01,1.95
Total coliforms,Sakda,22-Mar-01,0.2
Fecal coliforms,Sakda,22-Mar-01,0.008666667
Fecal streptococci ,Sakda,22-Mar-01,0.002
Water temperature,Kannika,25-Mar-01,8
Dissolved oxygen,Kannika,25-Mar-01,9.766666667
Bicarbonates,Kannika,25-Mar-01,154
Ammonium,Kannika,25-Mar-01,0.3
Nitrites,Kannika,25-Mar-01,0.04
Nitrates,Kannika,25-Mar-01,2.546666667
Orthophosphate-phosphorus,Kannika,25-Mar-01,0.02
Total phosphorus,Kannika,25-Mar-01,0.04
Sodium,Kannika,25-Mar-01,20.6
Potassium,Kannika,25-Mar-01,2.533333333
Calcium,Kannika,25-Mar-01,54.16666667
Magnesium,Kannika,25-Mar-01,18.4
Chlorides,Kannika,25-Mar-01,34.5
Sulphates,Kannika,25-Mar-01,48.66666667
Iron,Kannika,25-Mar-01,1.46
Manganese,Kannika,25-Mar-01,0.053333333
Zinc,Kannika,25-Mar-01,78
Copper,Kannika,25-Mar-01,40.66666667
Chromium,Kannika,25-Mar-01,24.66666667
Lead,Kannika,25-Mar-01,3
Cadmium,Kannika,25-Mar-01,5.966666667
Biochemical Oxygen,Kannika,25-Mar-01,1.9
Chemical Oxygen Demand (Cr),Kannika,25-Mar-01,15.33333333
Chemical Oxygen Demand (Mn),Kannika,25-Mar-01,3.266666667
Anionic active surfactants,Kannika,25-Mar-01,0.04
Atrazine,Kannika,25-Mar-01,0.03
"p,p-DDT",Kannika,25-Mar-01,1.943333333
gamma-Hexachlorocyclohexane,Kannika,25-Mar-01,0.303333333
Macrozoobenthos,Kannika,25-Mar-01,1.886666667
Total coliforms,Kannika,25-Mar-01,4.666666667
Fecal coliforms,Kannika,25-Mar-01,0.59
Fecal streptococci ,Kannika,25-Mar-01,0.02
Water temperature,Chai,31-Mar-01,7
Dissolved oxygen,Chai,31-Mar-01,9.866666667
Bicarbonates,Chai,31-Mar-01,173
Ammonium,Chai,31-Mar-01,0.42
Nitrites,Chai,31-Mar-01,0.033333333
Nitrates,Chai,31-Mar-01,2.66
Orthophosphate-phosphorus,Chai,31-Mar-01,0.02
Total phosphorus,Chai,31-Mar-01,0.04
Sodium,Chai,31-Mar-01,18.93333333
Potassium,Chai,31-Mar-01,2.4
Calcium,Chai,31-Mar-01,58.16666667
Magnesium,Chai,31-Mar-01,14.4
Chlorides,Chai,31-Mar-01,34.5
Sulphates,Chai,31-Mar-01,49.23333333
Iron,Chai,31-Mar-01,0.83
Manganese,Chai,31-Mar-01,0.046666667
Zinc,Chai,31-Mar-01,31.33333333
Copper,Chai,31-Mar-01,22.33333333
Chromium,Chai,31-Mar-01,24.33333333
Lead,Chai,31-Mar-01,3
Cadmium,Chai,31-Mar-01,0.52
Biochemical Oxygen,Chai,31-Mar-01,3.866666667
Chemical Oxygen Demand (Cr),Chai,31-Mar-01,17.66666667
Chemical Oxygen Demand (Mn),Chai,31-Mar-01,5.366666667
Anionic active surfactants,Chai,31-Mar-01,0.036666667
Atrazine,Chai,31-Mar-01,0.03
"p,p-DDT",Chai,31-Mar-01,0.32
gamma-Hexachlorocyclohexane,Chai,31-Mar-01,0.183333333
Macrozoobenthos,Chai,31-Mar-01,1.98
Total coliforms,Chai,31-Mar-01,2.276666667
Fecal coliforms,Chai,31-Mar-01,0.163333333
Fecal streptococci ,Chai,31-Mar-01,0.009333333
Water temperature,Somchair,31-Mar-01,6.5
Dissolved oxygen,Somchair,31-Mar-01,8.8
Bicarbonates,Somchair,31-Mar-01,192
Ammonium,Somchair,31-Mar-01,0.66
Nitrites,Somchair,31-Mar-01,0.06
Nitrates,Somchair,31-Mar-01,2.63
Orthophosphate-phosphorus,Somchair,31-Mar-01,0.05
Total phosphorus,Somchair,31-Mar-01,0.09
Sodium,Somchair,31-Mar-01,43.4
Potassium,Somchair,31-Mar-01,5.2
Calcium,Somchair,31-Mar-01,79.3
Magnesium,Somchair,31-Mar-01,26.5
Chlorides,Somchair,31-Mar-01,68.9
Sulphates,Somchair,31-Mar-01,85.4
Iron,Somchair,31-Mar-01,1.35
Manganese,Somchair,31-Mar-01,0.01
Zinc,Somchair,31-Mar-01,66
Copper,Somchair,31-Mar-01,13
Chromium,Somchair,31-Mar-01,21
Lead,Somchair,31-Mar-01,2
Cadmium,Somchair,31-Mar-01,0.36
Biochemical Oxygen,Somchair,31-Mar-01,5.2
Chemical Oxygen Demand (Cr),Somchair,31-Mar-01,23
Chemical Oxygen Demand (Mn),Somchair,31-Mar-01,7.6
Anionic active surfactants,Somchair,31-Mar-01,0.09
Atrazine,Somchair,31-Mar-01,0.01
"p,p-DDT",Somchair,31-Mar-01,1.32
gamma-Hexachlorocyclohexane,Somchair,31-Mar-01,0.31
Macrozoobenthos,Somchair,31-Mar-01,2.4
Total coliforms,Somchair,31-Mar-01,1.6
Fecal coliforms,Somchair,31-Mar-01,0.002
Fecal streptococci ,Somchair,31-Mar-01,0.002
Water temperature,Busarakhan,31-Mar-01,6
Dissolved oxygen,Busarakhan,31-Mar-01,12
Bicarbonates,Busarakhan,31-Mar-01,180
Ammonium,Busarakhan,31-Mar-01,0.24
Nitrites,Busarakhan,31-Mar-01,0.02
Nitrates,Busarakhan,31-Mar-01,2.5
Orthophosphate-phosphorus,Busarakhan,31-Mar-01,0.06
Total phosphorus,Busarakhan,31-Mar-01,0.09
Sodium,Busarakhan,31-Mar-01,33.4
Potassium,Busarakhan,31-Mar-01,3.4
Calcium,Busarakhan,31-Mar-01,83.2
Magnesium,Busarakhan,31-Mar-01,38.4
Chlorides,Busarakhan,31-Mar-01,48.2
Sulphates,Busarakhan,31-Mar-01,133.9
Iron,Busarakhan,31-Mar-01,0.25
Manganese,Busarakhan,31-Mar-01,0.01
Zinc,Busarakhan,31-Mar-01,71
Copper,Busarakhan,31-Mar-01,17
Chromium,Busarakhan,31-Mar-01,11
Lead,Busarakhan,31-Mar-01,2
Cadmium,Busarakhan,31-Mar-01,0.5
Biochemical Oxygen,Busarakhan,31-Mar-01,3.6
Chemical Oxygen Demand (Cr),Busarakhan,31-Mar-01,20
Chemical Oxygen Demand (Mn),Busarakhan,31-Mar-01,5.2
Anionic active surfactants,Busarakhan,31-Mar-01,0.07
Atrazine,Busarakhan,31-Mar-01,0.02
"p,p-DDT",Busarakhan,31-Mar-01,0.35
gamma-Hexachlorocyclohexane,Busarakhan,31-Mar-01,0.43
Macrozoobenthos,Busarakhan,31-Mar-01,2.05
Total coliforms,Busarakhan,31-Mar-01,0.02
Fecal coliforms,Busarakhan,31-Mar-01,0.002
Fecal streptococci ,Busarakhan,31-Mar-01,0.002
Water temperature,Boonsri,19-Apr-01,12
Dissolved oxygen,Boonsri,19-Apr-01,10.2
Bicarbonates,Boonsri,19-Apr-01,185
Ammonium,Boonsri,19-Apr-01,0.21
Nitrites,Boonsri,19-Apr-01,0.043333333
Nitrates,Boonsri,19-Apr-01,1.566666667
Orthophosphate-phosphorus,Boonsri,19-Apr-01,0.076666667
Total phosphorus,Boonsri,19-Apr-01,0.106666667
Sodium,Boonsri,19-Apr-01,17.9
Potassium,Boonsri,19-Apr-01,2.933333333
Calcium,Boonsri,19-Apr-01,60.66666667
Magnesium,Boonsri,19-Apr-01,17.86666667
Chlorides,Boonsri,19-Apr-01,20.33333333
Sulphates,Boonsri,19-Apr-01,56.93333333
Iron,Boonsri,19-Apr-01,0.406666667
Manganese,Boonsri,19-Apr-01,0.036666667
Zinc,Boonsri,19-Apr-01,59.66666667
Copper,Boonsri,19-Apr-01,18
Chromium,Boonsri,19-Apr-01,13.33333333
Lead,Boonsri,19-Apr-01,17
Biochemical Oxygen,Boonsri,19-Apr-01,2.733333333
Chemical Oxygen Demand (Cr),Boonsri,19-Apr-01,8.2
Chemical Oxygen Demand (Mn),Boonsri,19-Apr-01,4.066666667
Total extractable matter,Boonsri,19-Apr-01,0.1
Anionic active surfactants,Boonsri,19-Apr-01,0.026666667
Atrazine,Boonsri,19-Apr-01,0.013333333
"p,p-DDT",Boonsri,19-Apr-01,0.156666667
gamma-Hexachlorocyclohexane,Boonsri,19-Apr-01,0.323333333
Total coliforms,Boonsri,19-Apr-01,7.3
Water temperature,Kohsoom,27-Apr-01,15
Dissolved oxygen,Kohsoom,27-Apr-01,5.4
Bicarbonates,Kohsoom,27-Apr-01,146
Ammonium,Kohsoom,27-Apr-01,1.94
Nitrites,Kohsoom,27-Apr-01,0.11
Nitrates,Kohsoom,27-Apr-01,0.27
Orthophosphate-phosphorus,Kohsoom,27-Apr-01,0.15
Total phosphorus,Kohsoom,27-Apr-01,0.23
Sodium,Kohsoom,27-Apr-01,34.6
Potassium,Kohsoom,27-Apr-01,4.7
Calcium,Kohsoom,27-Apr-01,68
Magnesium,Kohsoom,27-Apr-01,4.2
Chlorides,Kohsoom,27-Apr-01,55.3
Sulphates,Kohsoom,27-Apr-01,68
Iron,Kohsoom,27-Apr-01,1.53
Manganese,Kohsoom,27-Apr-01,0.15
Zinc,Kohsoom,27-Apr-01,58
Copper,Kohsoom,27-Apr-01,14
Chromium,Kohsoom,27-Apr-01,30
Lead,Kohsoom,27-Apr-01,20
Biochemical Oxygen,Kohsoom,27-Apr-01,4.2
Chemical Oxygen Demand (Cr),Kohsoom,27-Apr-01,13.2
Chemical Oxygen Demand (Mn),Kohsoom,27-Apr-01,4.4
Total extractable matter,Kohsoom,27-Apr-01,0.17
Anionic active surfactants,Kohsoom,27-Apr-01,0.1
Atrazine,Kohsoom,27-Apr-01,0.01
"p,p-DDT",Kohsoom,27-Apr-01,0.15
gamma-Hexachlorocyclohexane,Kohsoom,27-Apr-01,0.2
Total coliforms,Kohsoom,27-Apr-01,0.37
Fecal coliforms,Kohsoom,27-Apr-01,0.13
Water temperature,Chai,27-Apr-01,14
Dissolved oxygen,Chai,27-Apr-01,9.133333333
Bicarbonates,Chai,27-Apr-01,148
Ammonium,Chai,27-Apr-01,0.166666667
Nitrites,Chai,27-Apr-01,0.023333333
Nitrates,Chai,27-Apr-01,1.34
Orthophosphate-phosphorus,Chai,27-Apr-01,0.056666667
Total phosphorus,Chai,27-Apr-01,0.093333333
Sodium,Chai,27-Apr-01,13.96666667
Potassium,Chai,27-Apr-01,2.266666667
Calcium,Chai,27-Apr-01,56.33333333
Magnesium,Chai,27-Apr-01,12.2
Chlorides,Chai,27-Apr-01,31.46666667
Sulphates,Chai,27-Apr-01,43.2
